size,time_s,peak_bytes,n_objects
256,0.000531917,139464,256
512,0.001216625,279240,512
1024,0.00283375,558792,1024
2048,0.0069895,1117896,2048
4096,0.025224083,2236104,4096
8192,0.092897166,4472520,8192
16384,0.349462709,8945352,16384
