size,time_s,peak_bytes,n_objects
500,0.011793572,16132742,500
1000,0.024660165,31089318,1000
2000,0.070026669,61002470,2000
4000,0.147623911,120828758,4000
8000,0.319933075,240481350,8000
16000,0.70996717,479786454,16000
32000,1.516527735,958396838,32000
